取得日,事実の時点,確度,内容,出典URL
2026-08-26,2026-08-18,一次情報,全国漁連海面魚類養殖業対策協議会は2026年8月18日、農林水産省の政務官・水産庁長官に対し魚類養殖の経営安定対策等の要請を行った,https://www.zengyoren.or.jp/news/press_20260819/
2026-08-26,2026-08-18,報道,"太平洋クロマグロの国際会合で2026年8月18日、30kg以上の大型魚の中西部太平洋側漁獲枠を年間11,869トンから14,836トンへ25%拡大することで合意した",https://www.jiji.com/jc/article?k=2026081800758&g=flash
2026-08-26,2026-08-18,報道,2026年8月18日の豊洲市場サンマ初競りの最高値は1kg当たり約2万～3万円で、前年の1kg当たり8万8000円を大きく下回った,https://suisan-navi.jp/uncategorized/news-2026-week34/
2026-08-26,2026-08-19,一次情報,ペルー生産省は2026年8月19日、北中部海域アンチョビ漁第1期を漁獲枠191万4049トンに対し実績約46万トン、消化率約24%で終了したと発表した,https://www.gob.pe/institucion/produce/noticias/1373721-produce-autoriza-inicio-de-la-primera-temporada-de-pesca-de-anchoveta-con-una-cuota-de-1-91-millones-de-toneladas
2026-08-26,2026-08-19,一次情報,水産研究・教育機構は2026年8月19日、シーフードショーで高成長ブリ種苗の量産化など次世代養殖技術を紹介する特別セミナーを開催した,https://www.fra.go.jp/home/cooperation/platform/seriola_workshop.html
2026-08-26,,一次情報,"水産用配合飼料価格安定対策の直近公表実績は2025年度第1四半期の補てん金56,970円/トンである",https://www.gyoankyo.or.jp/safetynet/compensation_payment
2026-08-26,2026-08-20,報道,2026年8月20日の豊洲市場で養殖ブリの高値は1kg当たり3051円、安値は1380円だった,https://sakana-souba-navi.jp/market/2026-08-20
2026-08-26,,一次情報,オランダのThe Kingfish Companyは2026年上期のyellowtail kingfish販売量が前年同期比13%増の1470トンとなり、営業EBITDAが20万ユーロと前年同期の250万ユーロの赤字から黒字化したと発表した,https://mfn.se/ob/a/the-kingfish-company/king-preliminary-first-half-year-2026-financial-results-e36c2ac6
2026-08-26,2026-08-19,報道,豪州ニューサウスウェールズ州の野生yellowtail kingfish調査で寄生虫Unicapsula seriolaeの検出率が38.9%だったと2026年8月19日に報じられた,https://phys.org/news/2026-08-parasite-linked-mushy-fish-widespread.html
2026-08-26,,報道,ドイツのOceanloopは大型ハタ類の陸上養殖事業のため最大3850万ユーロを調達した,https://www.startbase.com/news/oceanloop-zieht-bis-zu-385-millionen-euro-an/
